"","text","yearweek"
"84","dc  receive 6825 doses vaccination vaccineswork covid19vaccine

details   role ",202050
"85","knotty issue unpacked ",202050
"86"," us government advisory panel endorsed widespread use  pfizers coronavirus vaccine putting  country just one step away  launching  epic vaccination campaign   outbreak   killed close  300000 americans

 

",202050
"87","pastor says forced covid vaccination making  put  needle   armis government  reach   government reaching   womens legs    reach christless christian
tennessee pastor falsely claims covid19    pandemic

",202050
"88","waroncovid
 can  best help  covid19heros
vaccinate  first  slow  flood  dying patients
icu doctor   health workers shouldnt  prioritized  coronavirus vaccination",202050
"89","first time   heard     immune compromised    asking    get  covid vaccine can  get confirmation vaccination immunesystem coronavaccine pfizer covid19 covid coronavirus covid19 postviralsyndrome pots",202050
"90","  covid shot mandatory  health care workers  yet

",202050
"91"," special   tonight covid vaccination",202050
"92","just   newsroom

uk regulators say people    significant history  allergic reactions shouldnt receive  new pfizerbiontech coronavirus vaccine   investigate adverse reactions   first day   countrys mass vaccination program",202050
"93","operationwarpspeed promised  flood  covid vaccines instead theyre expecting  trickle trump promised 200million doses   vaccine   end   year amp     10   instead  vaccination program  2 months behind",202049
"94"," dont need anymore driveby musicals  plays just  shakespeares getting  vaccination
",202050
"95"," 90yearold grandmother got  first dose   pfizer vaccine   uk

  pfizer vaccine gets eua   fda expes tell   expect san franciscans  get  pfizer vaccine next week

",202050
"96"," beginning   end 

today 90yo margaret keenan became  first person   uk  get  pfizer vaccineless   week   country became  first  approve 

covid19 pfizervaccine 

",202050
"97","cnn william shakespeare among first britons  receive coronavirus vaccine


via",202050
"98","want  know    covid19 vaccinations 

nearly 200 teams around  world  racing  create coronavirus vaccines

 explains 3   main types  development 

covid19 vaccination

",202050
"99","moscow opens dozens  coronavirus vaccination centers

 wonder  countries think     top  organizing

",202049
"100","  get  vaccine  carry  card coronavirus covid19
vaccines",202049
"101","right now  example  externalizing  waste  incompetence   small  significant percentage  americans  plan  refuse vaccination   coronavirus  principle  necessity parasitic clandestine foolishness",202049
"102","imagine giving everyone coronavirus   weakened state  ultimately get   degree  herd immunity might  able  call  vaccination",202049
"103","new york timeswhy   taking every oppounity  flout public health guidance   middle   pandemic



covid19 coronavirus vaccination",202049
"104","coronavirus  illinois updates state expects  get 109000 vaccination doses initially enough  54500 people

",202049
"105"," arent servicehospitality workers prioritized  vaccination   vulnerable population  jobs suffered     come  contact  tons  people everyday vaccinating us contributes   herd immunity goals",202049
"106","mass vaccination clinics set  open   inlive   w  preview amp  king co  dealing w lack  supply  covid19 coronavirus vaccine",202105
"107","antivaxxers  maga ladies  gentlemen 

",202104
"108","washington post coronavirus mutations add urgency  vaccination effo  expes warn  long battle ahead


via",202104
"109","larry hogan governor larry hogan collects  taxes   md failing  vaccination stress test 39th   50 states shame",202104
"110","coronavirus mutations add urgency  vaccination effo  expes warn  long battle ahead
 joel achenbach  ariana eunjung cha

",202104
"111","  city   mass vaccination effo  disrupted  covidiots todaynumber  latinos dying daily  covid soars 1000  los angeles",202104
"112","lovely  fenway park  gillette stadium  vaccination sites   get  vaccine   olive garden    ",202104
"113","better business bureau warns  sharing covid19 vaccine cards  social media coronavirus 

 via",202104
"114"," latino community  los angeles cant wait  cant take weekdays   antivaxxers just happen   targeting  main mass vaccination site 
",202104
"115","never mind  found  readable page  whenhow  vaccine rollout  work

",202102
"116"," ugliness  antivaxersvaccineswork",202104
"117","   vaccination centers  crowded    seattle   night     rush  get people vaccinated   middle   night due   freezer failure",202104
"118","hank aaron got  covid vaccination two weeks   death antivaxxer morons including rfk jr  trying  link    death",202103
"119"," includes  911 mastermind financier etc    america  vaccinated",202104
"120","america 2021 younger healthier computersavvy seniors  beating   infirm  scarce coronavirus vaccination appointments 



",202104
"121"," total  10000 covid19 vaccines   administered today  sentara 5000   given   scope arena     appointments

 details ",202104
"122"," systematic racism  happening   coronavirus vaccine  good ole boy system  allowing white elderly people gettheir vaccination   races",202104
"123"," state   immediate plans  add  workers   vaccination distribution list",202104
"124","dad takes  first coronavirus vaccination shot like  trooper francia gets  tomorrowpublix super market   shoppes  fiddlesticks",202104
"125","hi jennifer  can find  vaccination phases  additional information ",202104
