"","location","avg.daily_vaccinations","avg.tweet_sentiment","avg.approve_estimate","avg.disapprove_estimate","avg.new_cases","avg.new_hospital_cases","avg.people_vaccinated","avg.high_school_percentage","avg.bachelor_degree_percentage","avg.age_median","avg.daily_vaccinations_n","avg.new_cases_n","avg.new_hospital_cases_n","avg.people_vaccinated_n","numValid"
"11","Hawaii",7775.35294117647,0.347737556561086,52.4252039674208,41.0305355909502,69272.0859728507,6060.12669683258,677420.488687783,92.4,33.6,39.6,0.00549156487392679,0.0489253873039729,0.00428013739718886,0.478447549416743,221
"12","Idaho",6142.52,0.331688888888889,52.2555856248889,41.2335427342222,70887.4444444444,6147.34155555556,530321.075555556,91.5,28.7,36.9,0.00343721129337769,0.0396669647967166,0.00343990932369867,0.296755336574526,225
"13","Illinois",61625.7621145374,0.33431718061674,52.2623003903084,41.2313458555066,70696.8546255507,6133.25986784141,5299128.20264317,89.8,35.8,38.6,0.00486321280221189,0.00557906039120586,0.000484007773455876,0.418182059440642,227
"14","Indiana",26855.0701754386,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,2204386.21929825,89.6,26.9,37.9,0.00398903692459182,0.010503889852975,0.000910643333331431,0.327438281389575,228
"15","Iowa",13949.2731277533,0.336211453744493,52.3220400951542,41.1595483356828,69967.3744493392,6088.2372246696,1198671.22907489,92.6,29.3,38.5,0.00442122460920148,0.0221761718279909,0.00192966787572688,0.379919060139677,227
"16","Kansas",12339.1447368421,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1069126.14473684,91.8,34,37.1,0.00423543247890276,0.0242728682325713,0.00210435619053669,0.366979372884915,228
"17","Kentucky",19305.0969162996,0.334669603524229,52.2672280202643,41.2183714061674,70860.127753304,6142.04718061674,1638340.33039648,87.2,25.1,39.1,0.00432106309398641,0.0158606343287219,0.00137477545483224,0.366709992068908,227
"18","Louisiana",17524.4336283186,0.33429203539823,52.2521334982301,41.2451643637168,70858.1150442478,6133.225,1398600.60176991,86,25,37.5,0.00376967308689492,0.015242257463817,0.00131931528908358,0.300852350474104,226
"19","Maine",7243.80616740088,0.33431718061674,52.2623003903084,41.2313458555066,70696.8546255507,6133.25986784141,632139.898678414,93.2,33.2,45,0.00538888669897373,0.0525935303549966,0.00456271768727062,0.470268007336948,227
"20","Maryland",32414.3157894737,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,2608816.27631579,90.4,40.9,39.1,0.00536156657141524,0.0116966969542062,0.00101405472186374,0.431517426710608,228
"21","Massachusetts",40200.4298245614,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,3378257.3377193,91.3,45,39.6,0.00583248637317407,0.0102596236580681,0.00088946647551364,0.490135055105424,228
"22","Michigan",43406.0921052632,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,3698594.6754386,91.4,30,39.9,0.0043463215809802,0.00708075492040241,0.000613871846856042,0.370346213572358,228
"23","Minnesota",27005.6052631579,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,2309723.14473684,93.6,37.3,38.3,0.00478854032730467,0.0125388477195153,0.00108706567217102,0.409552102821043,228
"24","Mississippi",10547.3552631579,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,844860.289473684,85.3,22.3,38,0.00354396075705816,0.0237603987038637,0.00205992722504054,0.283877013373216,228
"25","Missouri",25020.5486725664,0.336238938053097,52.248708759292,41.2513739654867,70826.3938053097,6126.99300884956,2047028.46017699,90.7,30.2,38.9,0.00407671563276447,0.0115400773427093,0.000998299777830316,0.333531971401863,226
"26","Montana",4254.96929824561,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,381793.789473684,94.2,33.6,40.1,0.00398115352135393,0.0661638683076422,0.0057361307501438,0.357224596196483,228
"27","Nebraska",8677.68584070797,0.333849557522124,52.2575583831858,41.2321023858407,70943.4690265487,6140.34132743363,730849.128318584,92,33.2,36.8,0.00448596461589694,0.036674511802344,0.00317427415903658,0.377815397950476,226
